Timestamp,Market_,25_perc_,50_perc_,75_perc_
1636707600000,NL,-0.05200004577636719,0.00037479400634765625,0.13500022888183594
1636711200000,NL,-0.024000167846679688,0.014999866485595703,0.09999847412109375
1636711200000,FR,-0.03374987840652466,0.03400003910064697,0.13000011444091797
1636714800000,NL,-0.01999982198079427,0.018500089645385742,0.08749866485595703
1636714800000,FR,-0.015000015497207642,0.03999900817871094,0.1916681925455729
1636718400000,NL,-0.020000298817952473,0.001818185502832586,0.08499526977539062
1636718400000,FR,-0.018749594688415527,0.004999637603759766,0.0800013542175293
1636722000000,NL,-0.02499985694885254,0.004667123158772786,0.04666614532470703
1636722000000,FR,-0.042499542236328125,0.0006000027060508728,0.05249953269958496
1636725600000,FR,-0.021667003631591797,0.003000020980834961,0.10000197092692058
1636725600000,NL,-0.006249666213989258,0.014999866485595703,0.06833299001057942
